业务概念(Term),SAP对标字段,MES物理字段名(DB_Column),数据类型,字典编码(dict_code),长度,是否必填,备注
BOM明细ID,,bom_item_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序ID,,operation_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
发料方式,,issue_method,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
发料数量,,issue_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
发料单位,,issue_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
是否倒冲,,backflush_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
是否必需,,mandatory_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工艺路线ID,,routing_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工厂ID,,plant_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工艺路线编码,,routing_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
工艺路线版本,,routing_version,varchar,,32,是,基础版字段定义，后续可按数据库规范细化。
工艺路线类型,,routing_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
生效开始时间,,effective_from,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
生效结束时间,,effective_to,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
工艺路线状态,,routing_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工序ID,,operation_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工艺路线ID,,routing_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序号,,operation_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
工序编码,,operation_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
工序名称,,operation_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
工作中心ID,,work_center_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
标准工时,,standard_time,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
时间单位,,time_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
工序类型,,operation_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
工序状态,,operation_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
生产工单ID,,prod_order_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工厂ID,,plant_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
BOM ID,,bom_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工艺路线ID,,routing_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
生产工单号,,order_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
工单类型,,order_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
工单数量,,order_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
工单单位,,order_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
计划开始时间,,planned_start_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
计划结束时间,,planned_end_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
工单状态,,order_status,varchar,mes_order_status,20,是,基础版字段定义，后续可按数据库规范细化。
来源系统,,source_system,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
紧急程度,,priority_level,varchar,mes_priority_level,2,是,紧急程度字典。
生产批号,,batch_no,varchar,,64,否,批次号
排产状态,,schedule_status,varchar,mes_schedule_status,20,否,排产状态字典。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工单组件ID,,order_component_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
BOM明细ID,,bom_item_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
组件序号,,component_seq_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
计划数量,,planned_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
已发料数量,,issued_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
单位,,uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
组件来源,,component_source,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
是否替代,,substitution_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
是否切换,,cutover_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
组件状态,,component_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序ID,,operation_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序号,,operation_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
工序编码,,operation_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
工序名称,,operation_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
工作中心ID,,work_center_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
计划开始时间,,planned_start_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
计划结束时间,,planned_end_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
实际开始时间,,actual_start_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
实际结束时间,,actual_end_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
工序状态,,op_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工序执行ID,,op_exec_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
派工ID,,dispatch_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
执行次数,,execution_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
开始时间,,start_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
结束时间,,end_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
执行人ID,,executor_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
设备ID,,equipment_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
执行状态,,exec_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
班次ID,,shift_id,bigint,,20,否,班次ID
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
报工ID,,report_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序执行ID,,op_exec_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
报工单号,,report_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
合格数量,,good_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
报废数量,,scrap_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
返工数量,,rework_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
报工单位,,report_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
报工时间,,report_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
报工人ID,,report_person_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
报工状态,,report_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
班次ID,,shift_id,bigint,,20,否,班次ID
设备ID,,equipment_id,bigint,,20,否,设备ID
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
物料批次ID,,material_lot_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
批次号,,lot_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
供应商ID,,supplier_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
收货明细ID,,gr_item_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
接收数量,,received_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
可用数量,,available_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
单位,,uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
生产日期,,manufacture_date,date,,,否,基础版字段定义，后续可按数据库规范细化。
失效日期,,expire_date,date,,,否,基础版字段定义，后续可按数据库规范细化。
批次状态,,lot_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
仓库ID,,warehouse_id,bigint,,20,否,仓库ID
库位ID,,storage_location_id,bigint,,20,否,库位ID
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
投料记录ID,,op_consume_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序执行ID,,op_exec_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单组件ID,,order_component_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料批次ID,,material_lot_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
序列号ID,,serial_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
投料数量,,consume_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
投料单位,,consume_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
投料类型,,consume_type,varchar,mes_consume_type,32,否,基础版字段定义，后续可按数据库规范细化。
投料时间,,consume_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
SAP系统ID,,sap_system_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
SAP系统编码,,sap_system_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
SAP系统名称,,sap_system_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
客户端号,,client_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
环境类型,,environment_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
接口地址,,endpoint_url,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
SAP工厂参考ID,,sap_plant_ref_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
SAP系统ID,,sap_system_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
SAP工厂编码,,sap_plant_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
SAP工厂名称,,sap_plant_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
公司代码,,company_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
最后同步时间,,last_sync_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
SAP物料参考ID,,sap_material_ref_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
SAP系统ID,,sap_system_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
SAP物料编码,,sap_material_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
SAP物料名称,,sap_material_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
工厂编码,,plant_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
物料类型,,material_type,varchar,mes_material_type,32,否,基础版字段定义，后续可按数据库规范细化。
基本单位,,base_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
最后同步时间,,last_sync_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
SAP BOM参考ID,,sap_bom_ref_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
SAP系统ID,,sap_system_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
SAP BOM编号,,sap_bom_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
SAP替代BOM,,sap_bom_alt,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
工厂编码,,plant_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
BOM用途,,bom_usage,varchar,mes_bom_usage,64,否,基础版字段定义，后续可按数据库规范细化。
物料编码,,material_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
有效开始日期,,valid_from,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
有效结束日期,,valid_to,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
